file paths,stage types,encoded labels
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (10).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (11).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (12).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (13).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (14).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (15).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (16).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (17).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (2).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (3).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (4).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (5).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (6).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (7).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (8).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield (9).jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/SampleData//Battlefield.jpg,Battlefield,0
C:/Users/17073/Desktop/SSBU/Labels/Final Destination/Images/frame10507.jpg,Final Destination,1
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (10).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (11).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (12).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (13).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (2).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (3).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (4).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (5).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (6).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (7).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (8).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League (9).jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/SampleData//Kalos Pokemon League.jpg,Kalos Pokemon League,2
C:/Users/17073/Desktop/SSBU/Labels/Lylat Cruise/Images/frame11117.jpg,Lylat Cruise,3
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (10).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (11).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (12).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (13).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (2).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (3).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (4).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (5).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (6).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (7).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (8).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2 (9).jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/SampleData//Pokemon Stadium 2.jpg,Pokemon Stadium 2,4
C:/Users/17073/Desktop/SSBU/Labels/Smashville/Images/frame11127.jpg,Smashville,5
C:/Users/17073/Desktop/SSBU/Labels/Unova Pokemon League/Images/frame1233.jpg,Unova Pokemon League,6
C:/Users/17073/Desktop/SSBU/Labels/Yoshis Island/Images/frame9937.jpg,Yoshis Island,7
C:/Users/17073/Desktop/SSBU/Labels/Yoshis Story/Images/frame10242.jpg,Yoshis Story,8
